city,section,key,value,note
纽约,restaurants,高,高端牛排馆,
纽约,attractions,culture,大都会博物馆,
纽约,attractions,culture,现代艺术博物馆（MoMA）,
纽约,attractions,culture,百老汇,
纽约,attractions,culture,古根海姆博物馆,
纽约,attractions,nature,中央公园,
纽约,attractions,nature,高线公园,
纽约,attractions,nature,布鲁克林大桥公园,
纽约,attractions,food,切尔西市场,
纽约,attractions,food,法拉盛美食,
纽约,attractions,food,小意大利餐厅,
纽约,attractions,food,布鲁克林美食街,
纽约,attractions,shopping,第五大道,
纽约,attractions,shopping,苏豪区,
纽约,attractions,shopping,时代广场,
纽约,attractions,shopping,布鲁克林跳蚤市场,
纽约,attractions,history,自由女神像,
纽约,attractions,history,帝国大厦,
纽约,attractions,history,9/11纪念馆,
纽约,attractions,nightlife,哈莱姆爵士乐,
纽约,attractions,nightlife,布鲁克林酒吧,
纽约,attractions,nightlife,屋顶酒吧夜景,
纽约,transport,transport,地铁24小时运营，推荐购买多次卡,
纽约,tips,tip,许多博物馆支持自愿定价,
纽约,tips,tip,百老汇可当天购折扣票（TKTS亭）,
伦敦,daily_budget,低,520,
伦敦,daily_budget,中,1200,
伦敦,daily_budget,高,3500,
伦敦,restaurants,低,Fish and Chips,
伦敦,restaurants,低,酒吧午餐,
伦敦,restaurants,低,超市三明治,
伦敦,restaurants,中,多元文化餐厅,
伦敦,restaurants,中,英式下午茶（茶馆）,
伦敦,restaurants,高,米其林餐厅,
伦敦,restaurants,高,高级酒店下午茶,
伦敦,attractions,culture,大英博物馆,
伦敦,attractions,culture,国家美术馆,
伦敦,attractions,culture,泰特现代美术馆,
伦敦,attractions,culture,维多利亚与艾伯特博物馆,
伦敦,attractions,nature,海德公园,
伦敦,attractions,nature,摄政公园,
伦敦,attractions,nature,肯辛顿花园,
伦敦,attractions,food,博罗市场,
伦敦,attractions,food,布里克巷美食街,
伦敦,attractions,food,科芬园,
伦敦,attractions,shopping,牛津街,
伦敦,attractions,shopping,摄政街,
伦敦,attractions,shopping,哈罗德百货,
伦敦,attractions,shopping,波多贝罗路市集,
伦敦,attractions,history,大本钟,
伦敦,attractions,history,伦敦塔,
伦敦,attractions,history,威斯敏斯特教堂,
伦敦,attractions,history,格林尼治天文台,
伦敦,attractions,nightlife,索霍区酒吧,
伦敦,attractions,nightlife,肖尔迪奇艺术夜生活,
伦敦,attractions,nightlife,爵士乐俱乐部,
伦敦,transport,transport,地铁（The Tube）覆盖全市，牡蛎卡（Oyster）最便宜,
伦敦,tips,tip,大英博物馆、国家美术馆均免费,
伦敦,tips,tip,Oyster 卡有每日封顶限额,
罗马,daily_budget,低,450,
罗马,daily_budget,中,1000,
罗马,daily_budget,高,3000,
罗马,restaurants,低,街头披萨,
罗马,restaurants,低,小酒馆（Trattoria）,
罗马,restaurants,中,传统意式餐厅,
罗马,restaurants,中,特色小馆,
罗马,restaurants,高,高级餐厅,
罗马,restaurants,高,景观餐厅,
罗马,attractions,culture,梵蒂冈博物馆,
罗马,attractions,culture,西斯廷教堂,
罗马,attractions,culture,波各赛美术馆,
罗马,attractions,nature,博格赛别墅花园,
罗马,attractions,nature,台伯河畔,
罗马,attractions,nature,阿皮亚古道,
罗马,attractions,food,特莱维许愿池附近餐厅,
罗马,attractions,food,Campo de' Fiori 早市,
罗马,attractions,food,传统意式餐厅,
罗马,attractions,shopping,西班牙广场,
罗马,attractions,shopping,Via del Corso,
罗马,attractions,shopping,特斯塔奇奥市场,
罗马,attractions,history,罗马斗兽场,
罗马,attractions,history,古罗马广场,
罗马,attractions,history,万神殿,
罗马,attractions,history,卡拉卡拉浴场,
罗马,attractions,nightlife,特拉斯提弗列夜生活,
罗马,attractions,nightlife,纳沃纳广场酒吧,
罗马,transport,transport,公交+地铁，步行也可游览大部分景点,
罗马,tips,tip,梵蒂冈博物馆务必提前网上预约,
罗马,tips,tip,罗马通行证可省门票费,
悉尼,daily_budget,低,450,
悉尼,daily_budget,中,1000,
悉尼,daily_budget,高,3000,
悉尼,restaurants,低,食品市场,
悉尼,restaurants,低,咖啡馆,
悉尼,restaurants,中,海鲜餐厅,
悉尼,restaurants,中,现代澳式料理,
悉尼,restaurants,高,港湾景观餐厅,
悉尼,restaurants,高,高端主厨料理,
悉尼,attractions,culture,悉尼歌剧院,
悉尼,attractions,culture,新南威尔士州立美术馆,
悉尼,attractions,culture,达令港,
悉尼,attractions,nature,邦迪海滩,
悉尼,attractions,nature,皇家植物园,
悉尼,attractions,nature,蓝山国家公园,
悉尼,attractions,food,岩石区海鲜市场,
悉尼,attractions,food,萨里山咖啡街,
悉尼,attractions,food,帕迪斯市场,
悉尼,attractions,shopping,皇后维多利亚大厦（QVB）,
悉尼,attractions,shopping,皮特街购物中心,
悉尼,attractions,shopping,纽曼购物中心,
悉尼,attractions,history,悉尼海港大桥,
悉尼,attractions,history,岩石区殖民历史,
悉尼,attractions,history,悉尼天文台,
悉尼,attractions,nightlife,国王十字区夜生活,
悉尼,attractions,nightlife,纽顿酒吧街,
悉尼,attractions,nightlife,悉尼港夜景游轮,
悉尼,transport,transport,公交+火车+轮渡，Opal 卡通用,
悉尼,tips,tip,Bondi to Coogee 海滨步道免费且景色绝美,
悉尼,tips,tip,悉尼歌剧院导览需提前预约,
巴塞罗那,daily_budget,低,380,
巴塞罗那,daily_budget,中,850,
巴塞罗那,daily_budget,高,2600,
巴塞罗那,restaurants,低,Bocadillo 三明治,
巴塞罗那,restaurants,低,塔帕斯小吃,
巴塞罗那,restaurants,中,特色菜馆,
巴塞罗那,restaurants,中,海鲜饭餐厅,
巴塞罗那,restaurants,高,米其林餐厅,
巴塞罗那,restaurants,高,港口景观餐厅,
巴塞罗那,attractions,culture,圣家堂,
巴塞罗那,attractions,culture,毕加索博物馆,
巴塞罗那,attractions,culture,米罗基金会美术馆,
巴塞罗那,attractions,nature,蒙特惠奇山,
巴塞罗那,attractions,nature,海滨大道（Barceloneta）,
巴塞罗那,attractions,nature,帕劳雷亚尔公园,
巴塞罗那,attractions,food,博盖利亚市场,
巴塞罗那,attractions,food,El Born 美食街,
巴塞罗那,attractions,food,格拉西亚街区小馆,
巴塞罗那,attractions,shopping,格拉西亚大道奢侈品,
巴塞罗那,attractions,shopping,波恩区设计品店,
巴塞罗那,attractions,shopping,圣卡特里纳市场,
巴塞罗那,attractions,history,哥特区,
巴塞罗那,attractions,history,王广场,
巴塞罗那,attractions,history,圣佩雷德雷斯修道院,
巴塞罗那,attractions,nightlife,拉塞乌广场弗拉门戈,
巴塞罗那,attractions,nightlife,Port Olímpic 俱乐部区,
巴塞罗那,attractions,nightlife,Raval 区酒吧,
巴塞罗那,transport,transport,地铁+公交，推荐 T-Casual 多次票,
巴塞罗那,tips,tip,圣家堂必须网上提前购票,
巴塞罗那,tips,tip,午餐套餐（Menú del día）性价比极高,
曼谷,daily_budget,低,180,
曼谷,daily_budget,中,450,
曼谷,daily_budget,高,1500,
曼谷,restaurants,低,街头小吃,
曼谷,restaurants,低,路边摊泰式炒面,
曼谷,restaurants,中,空调餐厅,
曼谷,restaurants,中,河畔餐厅,
曼谷,restaurants,高,屋顶景观餐厅,
曼谷,restaurants,高,高端泰式料理,
曼谷,attractions,culture,大皇宫,
曼谷,attractions,culture,玉佛寺,
曼谷,attractions,culture,卧佛寺,
曼谷,attractions,culture,暹罗博物馆,
曼谷,attractions,nature,素万那普公园,
曼谷,attractions,nature,考艾国家公园（近郊）,
曼谷,attractions,nature,湄南河游船,
曼谷,attractions,food,考山路夜市,
曼谷,attractions,food,中国城街头美食,
曼谷,attractions,food,Or Tor Kor 市场,
曼谷,attractions,shopping,暹罗百丽宫,
曼谷,attractions,shopping,恰图恰周末市集,
曼谷,attractions,shopping,MBK 购物中心,
曼谷,attractions,history,大城府历史遗址,
曼谷,attractions,history,邦巴因夏宫,
曼谷,attractions,history,郑王庙,
曼谷,attractions,nightlife,Patpong 夜市,
曼谷,attractions,nightlife,RCA 俱乐部街,
曼谷,attractions,nightlife,考山路酒吧,
曼谷,transport,transport,BTS 轻轨+MRT 地铁+突突车，交通多样,
曼谷,tips,tip,参观寺庙需着长裤/长裙,
曼谷,tips,tip,Grab 打车比出租车便宜,
新加坡,daily_budget,低,380,
新加坡,daily_budget,中,900,
新加坡,daily_budget,高,2800,
新加坡,restaurants,低,小贩中心海南鸡饭,
新加坡,restaurants,低,椰浆饭,
新加坡,restaurants,低,肉骨茶,
新加坡,restaurants,中,珍宝海鲜辣椒螃蟹,
新加坡,restaurants,中,Jumbo Seafood,
新加坡,restaurants,中,328加东叻沙,
新加坡,restaurants,高,滨海湾金沙 CUT 牛排馆,
新加坡,restaurants,高,Odette 米其林三星,
新加坡,restaurants,高,焰餐厅（Waku Ghin）,
新加坡,attractions,culture,国家博物馆,
新加坡,attractions,culture,艺术科学博物馆,
新加坡,attractions,culture,滨海艺术中心,
新加坡,attractions,culture,新加坡美术馆,
新加坡,attractions,nature,滨海湾花园（擎天树林）,
新加坡,attractions,nature,圣淘沙岛海滩,
新加坡,attractions,nature,麦里芝蓄水池公园,
新加坡,attractions,nature,双溪布洛湿地保护区,
新加坡,attractions,food,老巴刹小贩中心,
新加坡,attractions,food,牛车水美食街,
新加坡,attractions,food,麦士威熟食中心,
新加坡,attractions,food,武吉知马美食广场,
新加坡,attractions,shopping,乌节路购物带,
新加坡,attractions,shopping,滨海湾金沙购物中心,
新加坡,attractions,shopping,克拉码头,
新加坡,attractions,shopping,义安城购物中心,
新加坡,attractions,history,莱佛士酒店,
新加坡,attractions,history,牛车水唐人街,
新加坡,attractions,history,小印度区,
新加坡,attractions,history,甘榜格南马来区,
新加坡,attractions,nightlife,克拉码头酒吧街,
新加坡,attractions,nightlife,滨海湾金沙屋顶无边泳池观景,
新加坡,attractions,nightlife,哈芝巷精酿酒吧,
新加坡,transport,transport,地铁（MRT）覆盖全岛，EZ-Link 卡通用公交地铁,
新加坡,tips,tip,小贩中心是新加坡饮食文化精髓，物美价廉,
新加坡,tips,tip,滨海湾花园光影秀每晚免费，建议提前占位,
首尔,daily_budget,低,280,
首尔,daily_budget,中,650,
首尔,daily_budget,高,2000,
首尔,restaurants,低,便利店套餐,
首尔,restaurants,低,街头辣炒年糕,
首尔,restaurants,低,순대国产血肠汤,
首尔,restaurants,中,三清洞韩定食,
首尔,restaurants,中,明洞烤肉,
首尔,restaurants,中,鸡肋年糕火锅,
首尔,restaurants,高,韩牛（韩国和牛）烤肉,
首尔,restaurants,高,Gaon 米其林三星,
首尔,restaurants,高,高档韩式料理（韩定食）,
首尔,attractions,culture,国立中央博物馆,
首尔,attractions,culture,国立现代美术馆,
首尔,attractions,culture,韩国民俗村,
首尔,attractions,culture,DDP 东大门设计广场,
首尔,attractions,nature,北汉山国立公园,
首尔,attractions,nature,汉江公园,
首尔,attractions,nature,南山公园N首尔塔,
首尔,attractions,nature,仁王山城郭路,
首尔,attractions,food,广藏市场,
首尔,attractions,food,东大门综合市场夜食,
首尔,attractions,food,弘大街头小吃,
首尔,attractions,food,鹰峰洞炸鸡一条街,
首尔,attractions,shopping,明洞购物街,
首尔,attractions,shopping,东大门DOOTA购物中心,
首尔,attractions,shopping,弘大街区,
首尔,attractions,shopping,狎鸥亭罗德奥街,
首尔,attractions,history,景福宫,
首尔,attractions,history,昌德宫秘苑,
首尔,attractions,history,北村韩屋村,
首尔,attractions,history,水原华城,
首尔,attractions,nightlife,弘大夜生活区,
首尔,attractions,nightlife,梨泰院国际酒吧街,
首尔,attractions,nightlife,江南清潭洞夜场,
首尔,transport,transport,地铁网络发达，T-Money 交通卡通用地铁公交,
首尔,tips,tip,景福宫穿韩服入场免费,
首尔,tips,tip,明洞化妆品店可砍价，多家比价再购买,
迪拜,daily_budget,低,450,
迪拜,daily_budget,中,1200,
迪拜,daily_budget,高,4000,
迪拜,restaurants,低,沙瓦尔马摊（Shawarma）,
迪拜,restaurants,低,Al Mallah 餐厅,
迪拜,restaurants,低,Ravi Restaurant,
迪拜,restaurants,中,海滨餐厅海鲜,
迪拜,restaurants,中,国际连锁餐厅,
迪拜,restaurants,中,黎巴嫩餐厅,
迪拜,restaurants,高,Nobu Dubai（棕榈岛）,
迪拜,restaurants,高,Pierchic（海上餐厅）,
迪拜,restaurants,高,Zuma（日式摩登料理）,
迪拜,attractions,culture,迪拜艺术区（Alserkal Avenue）,
迪拜,attractions,culture,阿联酋购物中心内部艺术装置,
迪拜,attractions,culture,迪拜设计区（d3）,
迪拜,attractions,culture,迪拜博物馆（Al Fahidi堡垒）,
迪拜,attractions,nature,朱美拉公共海滩,
迪拜,attractions,nature,迪拜沙漠保护区沙丘,
迪拜,attractions,nature,迪拜溪流红树林,
迪拜,attractions,nature,赫塔沙漠徒步,
迪拜,attractions,food,迪拜老城区香料市场,
迪拜,attractions,food,Ravi Restaurant（巴基斯坦菜）,
迪拜,attractions,food,Al Ustad Special Kabab,
迪拜,attractions,food,全球美食村（Global Village）,
迪拜,attractions,shopping,迪拜购物中心（Dubai Mall）,
迪拜,attractions,shopping,黄金市场（Gold Souk）,
迪拜,attractions,shopping,香料市场（Spice Souk）,
迪拜,attractions,shopping,Mall of the Emirates（含室内滑雪场）,
迪拜,attractions,history,阿法迪历史街区（Al Fahidi）,
迪拜,attractions,history,迪拜老城区Bastakiya,
迪拜,attractions,history,沙迦考古博物馆（近郊）,
迪拜,attractions,history,艾尔巴迪宫,
迪拜,attractions,nightlife,Burj Khalifa 128层酒吧At.mosphere,
迪拜,attractions,nightlife,JBR海滩酒吧街,
迪拜,attractions,nightlife,棕榈岛 Nobu 餐厅夜场,
迪拜,transport,transport,地铁红线/绿线覆盖主要景点，出租车/Careem（打车软件）便利,
迪拜,tips,tip,迪拜购物节（1月）和美食节折扣极大,
迪拜,tips,tip,进入清真寺需着装保守，女性需佩戴头巾,
阿姆斯特丹,daily_budget,低,520,
阿姆斯特丹,daily_budget,中,1100,
阿姆斯特丹,daily_budget,高,3200,
阿姆斯特丹,restaurants,低,Stroopwafel 街头华夫饼,
阿姆斯特丹,restaurants,低,荷式炸薯条（Vlaamse Frites）,
阿姆斯特丹,restaurants,低,超市熟食,
阿姆斯特丹,restaurants,中,运河餐厅,
阿姆斯特丹,restaurants,中,荷兰传统菜（Stamppot）,
阿姆斯特丹,restaurants,中,印尼料理（Rijsttafel）,
阿姆斯特丹,restaurants,高,Ciel Bleu 米其林二星,
阿姆斯特丹,restaurants,高,The Jane 高级料理,
阿姆斯特丹,restaurants,高,Restaurant Vinkeles,
阿姆斯特丹,attractions,culture,国立博物馆（Rijksmuseum）,
阿姆斯特丹,attractions,culture,梵高博物馆,
阿姆斯特丹,attractions,culture,市立现代艺术博物馆（Stedelijk）,
阿姆斯特丹,attractions,culture,安妮之家,
阿姆斯特丹,attractions,nature,阿姆斯特丹森林公园,
阿姆斯特丹,attractions,nature,凯肯霍夫郁金香园（春季）,
阿姆斯特丹,attractions,nature,运河游船,
阿姆斯特丹,attractions,nature,芳登德尔公园（Vondelpark）,
阿姆斯特丹,attractions,food,Albert Cuyp 市集,
阿姆斯特丹,attractions,food,Noordermarkt 有机市场,
阿姆斯特丹,attractions,food,运河边露天咖啡馆,
阿姆斯特丹,attractions,food,Pijp 街区美食,
阿姆斯特丹,attractions,shopping,P.C. Hooftstraat 奢侈品街,
阿姆斯特丹,attractions,shopping,Nine Streets（九条街）精品小店,
阿姆斯特丹,attractions,shopping,Waterlooplein 跳蚤市场,
阿姆斯特丹,attractions,shopping,Kalverstraat 步行购物街,
阿姆斯特丹,attractions,history,约旦区（Jordaan）历史街区,
阿姆斯特丹,attractions,history,安妮·弗兰克之家,
阿姆斯特丹,attractions,history,西教堂（Westerkerk）,
阿姆斯特丹,attractions,history,阿姆斯特丹皇宫,
阿姆斯特丹,attractions,nightlife,莱茵广场（Leidseplein）酒吧区,
阿姆斯特丹,attractions,nightlife,伦勃朗广场（Rembrandtplein）夜场,
阿姆斯特丹,attractions,nightlife,爵士咖啡馆Bimhuis,
阿姆斯特丹,transport,transport,自行车是最地道的出行方式，GVB 公交/地铁/有轨电车均可用 OV 卡,
阿姆斯特丹,tips,tip,梵高博物馆和国立博物馆务必提前网上购票,
阿姆斯特丹,tips,tip,租自行车游览运河区是必体验项目,
维也纳,daily_budget,低,450,
维也纳,daily_budget,中,1000,
维也纳,daily_budget,高,3000,
维也纳,restaurants,低,Würstelstand 香肠摊,
维也纳,restaurants,低,咖啡馆套餐（含维也纳咖啡）,
维也纳,restaurants,低,Beisl 小酒馆午市,
维也纳,restaurants,中,维也纳炸猪排（Wiener Schnitzel）餐厅,
维也纳,restaurants,中,Meixner's Gastwirtschaft,
维也纳,restaurants,中,传统维也纳菜馆,
维也纳,restaurants,高,Steirereck im Stadtpark 米其林二星,
维也纳,restaurants,高,维也纳国家歌剧院附近高级餐厅,
维也纳,restaurants,高,Konstantin Filippou,
维也纳,attractions,culture,艺术史博物馆（KHM）,
维也纳,attractions,culture,维也纳国家歌剧院,
维也纳,attractions,culture,阿尔贝蒂娜博物馆,
维也纳,attractions,culture,利奥波德博物馆（席勒/克里姆特）,
维也纳,attractions,nature,维也纳森林徒步,
维也纳,attractions,nature,普拉特公园（Prater）,
维也纳,attractions,nature,多瑙河岛,
维也纳,attractions,nature,美泉宫花园,
维也纳,attractions,food,纳市场（Naschmarkt）,
维也纳,attractions,food,维也纳咖啡馆文化（中央咖啡馆）,
维也纳,attractions,food,Brunnenmarkt 市集,
维也纳,attractions,food,第七区美食街,
维也纳,attractions,shopping,格拉本大街（Graben）,
维也纳,attractions,shopping,玛丽亚希尔弗大街（Mariahilfer Str.）,
维也纳,attractions,shopping,科尔马克特珠宝街,
维也纳,attractions,shopping,多摩亚纳百货,
维也纳,attractions,history,美泉宫（Schönbrunn）,
维也纳,attractions,history,霍夫堡皇宫,
维也纳,attractions,history,圣史蒂芬大教堂,
维也纳,attractions,history,维也纳墓地（中央公墓）,
维也纳,attractions,nightlife,第七区酒吧街（Spittelberg）,
维也纳,attractions,nightlife,维也纳音乐会（金色大厅附近）,
维也纳,attractions,nightlife,多瑙河畔夏季露天派对,
维也纳,transport,transport,地铁（U-Bahn）+有轨电车+公交，维也纳城市卡（Vienna City Card）含无限次乘车,
维也纳,tips,tip,音乐会/歌剧院当晚站票很便宜，提前1小时排队可购,
维也纳,tips,tip,维也纳博物馆月票性价比高,
布拉格,daily_budget,低,250,
布拉格,daily_budget,中,600,
布拉格,daily_budget,高,1800,
布拉格,restaurants,低,Trdelník 糖筒街头,
布拉格,restaurants,低,捷克猪肘套餐,
布拉格,restaurants,低,超市熟食,
布拉格,restaurants,中,Lokál 捷克传统餐厅,
布拉格,restaurants,中,La Degustation 波西米亚料理,
布拉格,restaurants,中,Café Savoy 维也纳式咖啡馆,
布拉格,restaurants,高,Field 米其林一星,
布拉格,restaurants,高,Alcron 高级餐厅,
布拉格,restaurants,高,Čestr 高档牛肉料理,
布拉格,attractions,culture,国家剧院,
布拉格,attractions,culture,布拉格国家博物馆,
布拉格,attractions,culture,穆夏博物馆（新艺术风格）,
布拉格,attractions,culture,DOX当代艺术中心,
布拉格,attractions,nature,迪文公园（Divoká Šárka）,
布拉格,attractions,nature,维谢赫拉德公园,
布拉格,attractions,nature,布拉格动物园,
布拉格,attractions,nature,波西米亚喀斯特自然保护区（近郊）,
布拉格,attractions,food,共和国广场农贸市场,
布拉格,attractions,food,布拉格中央市场（Manifesto Market）,
布拉格,attractions,food,老城广场街头小吃,
布拉格,attractions,food,Lokál 捷克传统菜馆,
布拉格,attractions,shopping,帕拉迪乌姆购物中心,
布拉格,attractions,shopping,帕利斯购物中心,
布拉格,attractions,shopping,老城区纪念品街,
布拉格,attractions,shopping,Dlouhá 街精品店,
布拉格,attractions,history,布拉格城堡,
布拉格,attractions,history,查理大桥,
布拉格,attractions,history,老城广场天文钟,
布拉格,attractions,history,犹太区（Josefov）,
布拉格,attractions,nightlife,瓦茨拉夫广场酒吧街,
布拉格,attractions,nightlife,克罗斯俱乐部（Klub Cross）,
布拉格,attractions,nightlife,老城区地下酒吧,
布拉格,transport,transport,地铁A/B/C线+有轨电车，24小时通票划算,
布拉格,tips,tip,布拉格城堡区面积庞大，建议安排半天游览,
布拉格,tips,tip,捷克啤酒（Pilsner Urquell/Kozel）比矿泉水便宜,
普吉岛,daily_budget,低,180,
普吉岛,daily_budget,中,450,
普吉岛,daily_budget,高,1600,
普吉岛,restaurants,低,路边摊炒河粉,
普吉岛,restaurants,低,当地粥店,
普吉岛,restaurants,低,7-11便利店,
普吉岛,restaurants,中,海鲜餐厅（卡隆码头）,
普吉岛,restaurants,中,老城Kopitiam咖啡馆,
普吉岛,restaurants,中,泰式火锅,
普吉岛,restaurants,高,Suay Restaurant 创意泰菜,
普吉岛,restaurants,高,Mom Tri's Kitchen 悬崖餐厅,
普吉岛,restaurants,高,Acqua 意大利海景餐厅,
普吉岛,attractions,culture,普吉老城葡萄牙式骑楼建筑,
普吉岛,attractions,culture,查龙寺（Wat Chalong）,
普吉岛,attractions,culture,大佛（Big Buddha）,
普吉岛,attractions,culture,普吉艺术村,
普吉岛,attractions,nature,攀牙湾皮划艇（James Bond Island）,
普吉岛,attractions,nature,珊瑚岛浮潜,
普吉岛,attractions,nature,甲米四岛一日游,
普吉岛,attractions,nature,西蒙山观景台日落,
普吉岛,attractions,food,芭东夜市,
普吉岛,attractions,food,普吉老城周末夜市,
普吉岛,attractions,food,卡伦海鲜码头,
普吉岛,attractions,food,Bang Rong 码头海鲜餐厅,
普吉岛,attractions,shopping,Jung Ceylon 购物中心（芭东）,
普吉岛,attractions,shopping,普吉老城精品纪念品店,
普吉岛,attractions,shopping,周末市场手工艺品,
普吉岛,attractions,shopping,中央节日广场,
普吉岛,attractions,history,普吉老城（Sino-Portuguese建筑群）,
普吉岛,attractions,history,泰华博物馆,
普吉岛,attractions,history,辛哈克林纪念碑,
普吉岛,attractions,nightlife,芭东海滩Bangla Road夜生活街,
普吉岛,attractions,nightlife,卡隆海滩酒吧,
普吉岛,attractions,nightlife,苏林海滩露天酒吧,
普吉岛,transport,transport,出租车/摩托车出租/Grab 打车为主，岛内无公共交通,
普吉岛,tips,tip,雨季（5-10月）价格便宜但海况不佳，旱季（11-4月）最适合出游,
普吉岛,tips,tip,Grab 比路边出租车便宜一半以上,
马尔代夫,daily_budget,低,600,
马尔代夫,daily_budget,中,1800,
马尔代夫,daily_budget,高,6000,
马尔代夫,restaurants,低,Maafushi本地岛街头餐厅,
马尔代夫,restaurants,低,当地人经营咖啡馆（hedhika小吃）,
马尔代夫,restaurants,低,鱼市附近平价餐馆,
马尔代夫,restaurants,中,客栈（guesthouse）含早晚餐,
马尔代夫,restaurants,中,当地风味海鲜餐厅,
马尔代夫,restaurants,中,Maafushi Street Food,
马尔代夫,restaurants,高,水下餐厅Ithaa（Conrad Hilton）,
马尔代夫,restaurants,高,四季度假村沙滩烛光晚餐,
马尔代夫,restaurants,高,One&Only Reethi Rah高级料理,
马尔代夫,attractions,culture,马累国家博物馆,
马尔代夫,attractions,culture,马累大清真寺（Islamic Centre）,
马尔代夫,attractions,culture,马累鱼市场,
马尔代夫,attractions,culture,当地渔村文化体验（Maafushi岛）,
马尔代夫,attractions,nature,珊瑚礁浮潜（North Male Atoll）,
马尔代夫,attractions,nature,鲨鱼湾浮潜（Rasdhoo Atoll）,
马尔代夫,attractions,nature,水下餐厅体验（Ithaa）,
马尔代夫,attractions,nature,海豚湾观豚游船,
马尔代夫,attractions,food,马累当地鱼市烤金枪鱼,
马尔代夫,attractions,food,Maafushi岛街头小吃,
马尔代夫,attractions,food,度假村海滩BBQ,
马尔代夫,attractions,food,水上餐厅,
马尔代夫,attractions,shopping,马累本岛纪念品街,
马尔代夫,attractions,shopping,Chandhani Magu 商业街,
马尔代夫,attractions,shopping,度假村精品店,
马尔代夫,attractions,shopping,潜水装备店,
马尔代夫,attractions,history,Hukuru Miskiy古清真寺（17世纪）,
马尔代夫,attractions,history,马累国家博物馆（苏丹王朝文物）,
马尔代夫,attractions,history,乌泰姆古宅,
马尔代夫,attractions,nightlife,度假岛沙滩星空鸡尾酒会,
马尔代夫,attractions,nightlife,水上屋日落观赏,
马尔代夫,attractions,nightlife,生物发光浮游生物夜游,
马尔代夫,transport,transport,水上飞机/快艇在各岛间穿梭，马累市内步行即可,
马尔代夫,tips,tip,本地岛（guesthouse）比度假村便宜80%，性价比极高,
马尔代夫,tips,tip,务必提前预订水上飞机，旺季一票难求,
