id,type,input,city,days,budget,interests,group,special,prediction_type,model_confidence,top_features,total_budget,model_accuracy,processing_time_s
S0645,standard,我想去罗马玩2天，和家人一起，我们喜欢美食，预算比较宽裕。,纽约,7,中,文化,单人,有老人,文化深度游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0147
S0308,standard,我想去纽约玩2天，我们喜欢自然、文化，预算比较宽裕，需要轮椅无障碍设施。,纽约,7,低,文化,家庭,无,亲子家庭游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7700,0.8445,0.0143
E0022,edge,我想去伦敦玩3天，和朋友一起，我们喜欢文化，不太确定。,伦敦,3,不太确定,文化,朋友,无,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0144
S0145,standard,我想去伦敦玩3天，和朋友一起，我们喜欢美食、自然，预算比较有限，有小孩子。,伦敦,2,中,文化,单人,有老人,文化深度游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.0142
B0064,boundary,我想去伦敦玩1天，和朋友一起，我们喜欢美食，预算比较有限。,东京,1,低,自然,情侣,有老人,经济观光,0.32,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,800,0.8445,0.0139
S0130,standard,我想去伦敦玩5天，和家人一起，我们喜欢购物，预算比较有限，需要轮椅无障碍设施。,东京,5,高,文化,家庭,有老人,文化深度游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,28000,0.8445,0.0145
B0163,boundary,我想去伦敦玩1天，和家人一起，我们喜欢文化，预算比较有限。,巴黎,1,低,历史,情侣,轮椅友好,文化深度游,0.56,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1000,0.8445,0.0139
S0457,standard,我想去东京玩2天，和爱人一起，我们喜欢美食，预算比较宽裕，有老人。,巴黎,1,低,购物,单人,轮椅友好,美食购物游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1000,0.8445,0.0142
S0523,standard,我想去纽约玩3天，和家人一起，我们喜欢自然、文化，预算比较宽裕。,东京,1,高,历史,单人,有老人,奢华体验,0.58,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0138
S0659,standard,我想去东京玩5天，我们喜欢历史、购物，预算中等，有小孩子。,巴黎,7,高,"历史,美食",朋友,轮椅友好,奢华体验,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0143
S0402,standard,我想去罗马玩3天，和爱人一起，我们喜欢购物，预算中等，有老人。,东京,7,低,美食,情侣,轮椅友好,美食购物游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0142
S0589,standard,我想去罗马玩3天，和朋友一起，我们喜欢美食、自然，预算比较宽裕，有老人。,巴黎,3,中,文化,单人,轮椅友好,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0141
S0344,standard,我想去巴黎玩7天，和家人一起，我们喜欢自然、文化，预算中等，有老人。,纽约,7,高,"购物,历史",情侣,轮椅友好,情侣浪漫游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,53200,0.8445,0.0146
S0461,standard,我想去东京玩7天，和家人一起，我们喜欢美食、购物，预算比较宽裕，有小孩子。,巴黎,5,高,购物,情侣,有老人,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,35000,0.8445,0.0142
B0129,boundary,我想去罗马玩1天，和朋友一起，我们喜欢美食，预算比较有限，有老人。,巴黎,1,低,文化,朋友,有老人,文化深度游,0.53,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1000,0.8445,0.0142
B0141,boundary,我想去纽约玩7天，和爱人一起，我们喜欢美食，预算比较宽裕。,巴黎,7,高,自然,家庭,轮椅友好,户外探险游,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0139
S0389,standard,我想去纽约玩7天，和朋友一起，我们喜欢自然、购物，预算比较宽裕，需要轮椅无障碍设施。,东京,5,中,美食,朋友,轮椅友好,美食购物游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,9000,0.8445,0.0142
S0037,standard,我想去纽约玩5天，和爱人一起，我们喜欢购物、自然，预算比较宽裕。,纽约,5,中,"自然,美食",朋友,无,户外探险游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,13000,0.8445,0.0148
S0399,standard,我想去伦敦玩1天，我们喜欢历史、文化，预算比较有限，有老人。,伦敦,5,高,"自然,美食",情侣,无,情侣浪漫游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,35000,0.8445,0.0142
S0267,standard,我想去伦敦玩1天，和朋友一起，我们喜欢自然，预算比较有限。,纽约,7,中,自然,朋友,轮椅友好,户外探险游,0.69,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0142
E0058,edge,我想去伦敦玩3天，和朋友一起，我们喜欢文化，不太确定。,伦敦,3,不太确定,文化,朋友,无,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0159
S0505,standard,我想去伦敦玩2天，我们喜欢美食，预算比较宽裕，有小孩子。,伦敦,2,低,自然,朋友,轮椅友好,经济观光,0.35,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2080,0.8445,0.019
S0679,standard,我想去东京玩2天，我们喜欢美食、文化，预算比较有限。,东京,1,中,"美食,自然",情侣,无,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1800,0.8445,0.0158
S0370,standard,我想去罗马玩5天，和爱人一起，我们喜欢美食，预算比较宽裕，有小孩子。,罗马,2,高,"文化,购物",家庭,轮椅友好,亲子家庭游,0.47,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12000,0.8445,0.0152
S0368,standard,我想去纽约玩5天，和朋友一起，我们喜欢美食、历史，预算比较有限，需要轮椅无障碍设施。,罗马,3,高,自然,家庭,有儿童,户外探险游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18000,0.8445,0.0152
B0043,boundary,我想去东京玩7天，我们喜欢自然，预算比较有限，需要轮椅无障碍设施。,罗马,7,低,美食,单人,轮椅友好,美食购物游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6300,0.8445,0.0149
S0205,standard,我想去巴黎玩3天，和家人一起，我们喜欢文化、美食，预算比较宽裕，需要轮椅无障碍设施。,巴黎,2,中,"购物,文化",单人,轮椅友好,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.014
S0607,standard,我想去东京玩5天，和家人一起，我们喜欢美食，预算比较宽裕，有老人。,伦敦,2,中,"购物,美食",情侣,有儿童,美食购物游,0.56,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.0148
S0066,standard,我想去罗马玩7天，和爱人一起，我们喜欢自然、历史，预算比较宽裕。,东京,2,低,美食,单人,无,美食购物游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1600,0.8445,0.0137
S0200,standard,我想去巴黎玩5天，和朋友一起，我们喜欢文化、购物，预算中等，需要轮椅无障碍设施。,东京,5,低,"自然,历史",朋友,有儿童,户外探险游,0.63,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0156
B0022,boundary,我想去纽约玩7天，和爱人一起，我们喜欢购物，预算中等，有老人。,东京,7,中,历史,单人,有儿童,文化深度游,0.53,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0168
B0004,boundary,我想去伦敦玩7天，和家人一起，我们喜欢历史，预算中等，有老人。,巴黎,7,中,自然,情侣,有老人,户外探险游,0.68,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0187
S0374,standard,我想去罗马玩5天，我们喜欢文化，预算比较有限，有小孩子。,纽约,7,高,"购物,历史",家庭,有儿童,亲子家庭游,0.4,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,53200,0.8445,0.0177
S0026,standard,我想去罗马玩2天，和爱人一起，我们喜欢自然、文化，预算中等，需要轮椅无障碍设施。,巴黎,3,中,"购物,自然",单人,无,户外探险游,0.65,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0159
S0047,standard,我想去巴黎玩3天，和朋友一起，我们喜欢自然、购物，预算比较宽裕。,纽约,1,低,"美食,文化",情侣,有儿童,经济观光,0.39,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0158
S0436,standard,我想去巴黎玩7天，和朋友一起，我们喜欢美食，预算比较宽裕，需要轮椅无障碍设施。,东京,3,高,美食,单人,有老人,奢华体验,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0167
S0170,standard,我想去巴黎玩7天，我们喜欢文化，预算比较有限。,伦敦,1,中,"美食,自然",单人,有老人,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2400,0.8445,0.0158
S0021,standard,我想去东京玩1天，和爱人一起，我们喜欢文化、购物，预算比较宽裕。,伦敦,7,低,"文化,自然",朋友,轮椅友好,户外探险游,0.66,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7280,0.8445,0.0161
S0366,standard,我想去东京玩5天，我们喜欢文化，预算中等。,纽约,7,高,"美食,历史",单人,有老人,奢华体验,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,53200,0.8445,0.0171
S0198,standard,我想去巴黎玩3天，和家人一起，我们喜欢自然，预算比较宽裕，需要轮椅无障碍设施。,罗马,7,中,"自然,美食",单人,有老人,户外探险游,0.69,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0163
S0593,standard,我想去罗马玩2天，我们喜欢自然，预算比较有限，需要轮椅无障碍设施。,罗马,2,高,历史,家庭,轮椅友好,文化深度游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12000,0.8445,0.0154
S0199,standard,我想去伦敦玩3天，和家人一起，我们喜欢自然，预算中等，有小孩子。,巴黎,7,中,"美食,历史",单人,轮椅友好,文化深度游,0.39,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0154
S0491,standard,我想去巴黎玩3天，我们喜欢自然、购物，预算比较宽裕，需要轮椅无障碍设施。,罗马,3,低,"自然,历史",情侣,有老人,户外探险游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2700,0.8445,0.0148
S0131,standard,我想去东京玩5天，我们喜欢文化，预算比较宽裕，需要轮椅无障碍设施。,东京,7,高,美食,家庭,无,亲子家庭游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0144
S0375,standard,我想去东京玩3天，我们喜欢购物、历史，预算比较有限。,东京,7,中,"历史,文化",家庭,无,亲子家庭游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0162
S0272,standard,我想去巴黎玩1天，和朋友一起，我们喜欢历史、自然，预算比较有限，需要轮椅无障碍设施。,东京,3,低,购物,情侣,有儿童,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2400,0.8445,0.0153
S0213,standard,我想去巴黎玩7天，和朋友一起，我们喜欢美食，预算比较宽裕，有老人。,伦敦,7,中,"文化,购物",朋友,轮椅友好,文化深度游,0.38,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.016
S0088,standard,我想去伦敦玩1天，和朋友一起，我们喜欢历史，预算比较宽裕。,东京,3,高,"文化,自然",朋友,轮椅友好,户外探险游,0.57,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0173
B0174,boundary,我想去伦敦玩1天，和家人一起，我们喜欢自然，预算比较有限，有老人。,纽约,1,低,历史,单人,有老人,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0146
S0496,standard,我想去罗马玩2天，和家人一起，我们喜欢自然，预算比较有限，需要轮椅无障碍设施。,伦敦,7,中,"自然,历史",朋友,无,户外探险游,0.63,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0147
S0172,standard,我想去伦敦玩3天，和朋友一起，我们喜欢历史、购物，预算比较有限，需要轮椅无障碍设施。,伦敦,1,高,自然,单人,有老人,奢华体验,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.0144
S0133,standard,我想去巴黎玩5天，和爱人一起，我们喜欢历史，预算比较宽裕，有小孩子。,罗马,3,中,"文化,美食",情侣,无,文化深度游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6000,0.8445,0.0145
B0149,boundary,我想去罗马玩1天，和家人一起，我们喜欢历史，预算比较有限，有小孩子。,罗马,1,低,自然,单人,轮椅友好,经济观光,0.36,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0141
B0173,boundary,我想去东京玩1天，我们喜欢自然，预算比较有限。,罗马,1,低,购物,单人,无,美食购物游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0137
S0677,standard,我想去纽约玩2天，和家人一起，我们喜欢文化，预算比较宽裕。,罗马,7,中,购物,朋友,无,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0142
S0620,standard,我想去罗马玩3天，和朋友一起，我们喜欢购物，预算比较宽裕，有小孩子。,伦敦,5,中,"购物,历史",情侣,无,文化深度游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12000,0.8445,0.0141
B0198,boundary,我想去巴黎玩1天，和家人一起，我们喜欢购物，预算比较有限，有老人。,东京,1,低,购物,朋友,有老人,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,800,0.8445,0.014
B0188,boundary,我想去罗马玩7天，和朋友一起，我们喜欢购物，预算比较宽裕，有老人。,罗马,7,高,购物,朋友,有老人,奢华体验,0.37,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,42000,0.8445,0.0168
S0435,standard,我想去纽约玩5天，和爱人一起，我们喜欢购物、自然，预算比较有限，有小孩子。,东京,1,中,美食,家庭,轮椅友好,美食购物游,0.57,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1800,0.8445,0.0168
B0057,boundary,我想去东京玩7天，和爱人一起，我们喜欢购物，预算比较有限，有小孩子。,罗马,7,低,文化,情侣,轮椅友好,文化深度游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6300,0.8445,0.015
S0609,standard,我想去巴黎玩3天，和朋友一起，我们喜欢文化，预算中等。,伦敦,1,低,"文化,历史",家庭,轮椅友好,文化深度游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1040,0.8445,0.0177
B0014,boundary,我想去东京玩7天，和爱人一起，我们喜欢购物，预算比较有限，需要轮椅无障碍设施。,巴黎,7,低,购物,单人,有儿童,美食购物游,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.0146
S0376,standard,我想去罗马玩5天，和家人一起，我们喜欢自然，预算比较宽裕，有老人。,东京,5,中,"购物,文化",单人,轮椅友好,文化深度游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,9000,0.8445,0.0142
S0330,standard,我想去伦敦玩3天，和家人一起，我们喜欢历史，预算中等，需要轮椅无障碍设施。,纽约,3,高,"购物,美食",情侣,有儿童,情侣浪漫游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,22800,0.8445,0.0157
S0317,standard,我想去巴黎玩2天，和朋友一起，我们喜欢历史、文化，预算中等，有小孩子。,罗马,1,低,购物,情侣,无,美食购物游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.014
B0143,boundary,我想去东京玩7天，和家人一起，我们喜欢购物，预算比较有限，有小孩子。,纽约,7,低,自然,家庭,有儿童,户外探险游,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7700,0.8445,0.0143
S0681,standard,我想去巴黎玩5天，和朋友一起，我们喜欢自然、美食，预算中等，需要轮椅无障碍设施。,罗马,2,中,美食,情侣,轮椅友好,美食购物游,0.56,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0144
B0176,boundary,我想去东京玩1天，和爱人一起，我们喜欢历史，预算比较有限，需要轮椅无障碍设施。,罗马,1,低,自然,朋友,有儿童,经济观光,0.33,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0146
S0346,standard,我想去纽约玩3天，和朋友一起，我们喜欢历史、购物，预算中等，有小孩子。,伦敦,5,低,"美食,历史",朋友,无,经济观光,0.31,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5200,0.8445,0.0143
S0159,standard,我想去罗马玩1天，和朋友一起，我们喜欢自然、文化，预算中等，有老人。,罗马,3,中,文化,家庭,有儿童,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6000,0.8445,0.0143
S0671,standard,我想去伦敦玩2天，和爱人一起，我们喜欢购物，预算比较有限，有小孩子。,东京,1,高,文化,朋友,有老人,奢华体验,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0138
B0167,boundary,我想去伦敦玩1天，和家人一起，我们喜欢美食，预算比较有限，有老人。,纽约,1,低,自然,情侣,无,经济观光,0.33,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0137
S0380,standard,我想去巴黎玩2天，和朋友一起，我们喜欢美食，预算中等，有老人。,东京,5,中,"文化,自然",朋友,有老人,户外探险游,0.66,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,9000,0.8445,0.0141
S0063,standard,我想去伦敦玩2天，我们喜欢文化、历史，预算比较宽裕，需要轮椅无障碍设施。,巴黎,2,高,购物,朋友,轮椅友好,奢华体验,0.47,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0141
B0097,boundary,我想去东京玩7天，我们喜欢购物，预算比较有限，有小孩子。,东京,7,低,美食,情侣,轮椅友好,美食购物游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0145
S0510,standard,我想去东京玩5天，和爱人一起，我们喜欢历史、文化，预算中等，有小孩子。,罗马,7,低,"自然,美食",朋友,有老人,户外探险游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6300,0.8445,0.0144
B0034,boundary,我想去纽约玩7天，我们喜欢美食，预算比较有限，有小孩子。,巴黎,7,低,文化,单人,有儿童,文化深度游,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.014
S0571,standard,我想去罗马玩2天，和朋友一起，我们喜欢自然，预算中等。,东京,7,中,美食,家庭,有老人,美食购物游,0.56,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0141
E0026,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0142
S0514,standard,我想去东京玩2天，和爱人一起，我们喜欢自然，预算比较有限，需要轮椅无障碍设施。,纽约,5,低,"购物,文化",单人,无,经济观光,0.28,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0139
S0120,standard,我想去巴黎玩3天，和朋友一起，我们喜欢自然、购物，预算比较宽裕，有老人。,纽约,3,中,"文化,自然",情侣,有儿童,户外探险游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7800,0.8445,0.0141
B0059,boundary,我想去东京玩1天，和爱人一起，我们喜欢历史，预算比较有限，有老人。,伦敦,1,低,历史,家庭,有老人,文化深度游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1040,0.8445,0.014
S0187,standard,我想去罗马玩1天，和爱人一起，我们喜欢购物，预算中等，有老人。,罗马,1,高,"美食,购物",朋友,轮椅友好,奢华体验,0.39,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6000,0.8445,0.0142
B0012,boundary,我想去巴黎玩1天，和家人一起，我们喜欢历史，预算比较有限。,罗马,1,低,购物,情侣,轮椅友好,美食购物游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0141
S0297,standard,我想去伦敦玩3天，和朋友一起，我们喜欢自然，预算比较有限，有老人。,纽约,5,高,自然,单人,有老人,户外探险游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,38000,0.8445,0.0139
B0008,boundary,我想去罗马玩7天，和爱人一起，我们喜欢历史，预算中等。,罗马,7,中,文化,朋友,轮椅友好,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0136
S0519,standard,我想去纽约玩7天，和朋友一起，我们喜欢历史、文化，预算比较有限，有小孩子。,纽约,2,低,"历史,购物",单人,有老人,经济观光,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2200,0.8445,0.0136
B0058,boundary,我想去纽约玩7天，我们喜欢文化，预算中等，有老人。,罗马,7,中,历史,朋友,轮椅友好,文化深度游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0138
S0417,standard,我想去伦敦玩7天，我们喜欢历史，预算比较宽裕。,罗马,1,中,"历史,文化",家庭,轮椅友好,文化深度游,0.65,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2000,0.8445,0.015
B0055,boundary,我想去伦敦玩1天，和爱人一起，我们喜欢文化，预算比较有限，需要轮椅无障碍设施。,纽约,1,低,购物,情侣,轮椅友好,美食购物游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0139
E0029,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0153
S0067,standard,我想去东京玩7天，我们喜欢购物，预算比较有限，需要轮椅无障碍设施。,东京,1,中,自然,情侣,有儿童,文化深度游,0.4,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1800,0.8445,0.0164
E0093,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0147
S0497,standard,我想去东京玩5天，我们喜欢美食、文化，预算中等，有小孩子。,巴黎,1,低,文化,单人,有儿童,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1000,0.8445,0.0156
B0191,boundary,我想去伦敦玩7天，和朋友一起，我们喜欢购物，预算中等，需要轮椅无障碍设施。,巴黎,7,中,历史,家庭,有儿童,文化深度游,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0149
S0615,standard,我想去伦敦玩3天，和朋友一起，我们喜欢美食，预算比较有限，有老人。,东京,2,高,历史,情侣,无,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,11200,0.8445,0.0142
E0036,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0142
